date,category,title,amount
2016-10-17,supermercado,Cacau Show,13.5
2016-10-17,supermercado,Bistek Supermercados,16.97
2016-10-17,restaurante,la Pasta Brasile,47
2016-10-17,restaurante,Bobs,12
2016-10-17,serviços,Recarga Tim,15
2016-10-17,transporte,Posto Avenida das Torr,50
2016-10-17,supermercado,Bistek Supermercados,179.56
2016-10-17,,Pagamento recebido,-617.94
2016-10-17,serviços,Itaguacu,6
2016-10-17,saúde,Panvel Filial,16.46
2016-10-31,supermercado,Bistek Supermercados,28.06
2016-10-31,restaurante,Massa Visa,12.9
2016-10-31,lazer,Ingresso Com,67.65
2016-10-31,restaurante,Frutos de Goias,29
2016-11-03,supermercado,Supermercado Super Com,8.32
2016-11-03,supermercado,Supermercado Super Com,34.29
2016-11-03,transporte,Posto Rita Maria,59.99
2016-11-07,supermercado,Bistek Supermercados,15.58
2016-11-07,lazer,Continente Park Sao Jo,20.75
2016-11-07,restaurante,Imperio das Massas Piz,39.9
2016-11-07,supermercado,Mini Mercado Gaspar,7.25
2016-11-07,transporte,Shopping Park,7
2016-11-09,,Pagamento recebido,-330.69
2016-11-10,serviços,Recarga Tim,15
