date,category,title,amount
2017-01-18,transporte,Sportrodas 2/6,280.83
2017-01-24,,Pagamento recebido,-1024.79
2017-01-24,outros,Registro,40
2017-01-31,serviços,Recarga Tim,30
2017-02-03,serviços,Recarga Tim,15
2017-02-06,supermercado,Bistek Supermercados,21.49
2017-02-07,lazer,Sesc Florianopolis,30
2017-02-07,supermercado,Bistek Supermercados,53.4
2017-02-08,supermercado,Bistek Supermercados,16.64
2017-02-13,transporte,Emporio do Cereal,4.25
2017-02-13,supermercado,Ang Super Lj,6.6
2017-02-13,supermercado,Supermerc Imperatriz,8.64
2017-02-13,supermercado,Bistek Supermercados,17.72
2017-02-13,restaurante,Los Paleteros,13.8
2017-02-13,transporte,Posto Galo Shopping,50
2017-02-13,transporte,Posto Onix,50
2017-02-13,casa,Bela Caes e Gatos,119.4
2017-02-13,saúde,Farmacia Preco Popular,14.89
2017-02-13,supermercado,Bistek Supermercados,19.87
2017-02-14,supermercado,Supermerc Imperatriz,40.91
2017-02-16,restaurante,Panela de Ferro,17
