date,category,title,amount
2017-09-21,supermercado,Ang Super Lj,9.24
2017-09-21,restaurante,Bom Sabor,14
2017-09-21,supermercado,Ang Super Lj,5.87
2017-09-22,restaurante,Bom Sabor,14
2017-09-22,casa,Supermercado Gemeos,6.99
2017-09-22,supermercado,Massa Viva Mini Calzon,13
2017-09-22,,Rewards - Assinatura,19
2017-09-22,transporte,Posto Onix,50
2017-09-23,supermercado,Ang Super Lj,13.99
2017-09-23,supermercado,Ang Super Lj,4.25
2017-09-23,restaurante,Bom Sabor,14
2017-09-25,supermercado,Bistek Supermercados,38.68
2017-09-25,supermercado,Bistek Supermercados,40.14
2017-09-26,supermercado,Massa Viva Mini Calzon,12.25
2017-09-26,transporte,Posto Galo Estreito,57.5
2017-09-26,restaurante,Bom Sabor,14
2017-09-27,restaurante,Bom Sabor,14
2017-09-27,restaurante,Bobs,10
2017-09-28,supermercado,Massa Viva Mini Calzon,5.75
2017-09-28,,Variação cambial,1.43
2017-09-28,restaurante,Bom Sabor,14
2017-09-29,restaurante,Bom Sabor,14
2017-09-29,supermercado,Ang Super Lj,8.07
2017-09-29,supermercado,Ang Super Lj,11.85
2017-09-30,supermercado,Ang Super Lj,16.33
2017-09-30,supermercado,Ang Super Lj,7.86
2017-09-30,restaurante,Bom Sabor,14
2017-10-02,supermercado,Bistek Supermercados,48.98
2017-10-02,restaurante,Europa Cafe Bar,15.8
2017-10-03,supermercado,Abn Produtos Naturais,10.8
2017-10-03,serviços,Aeropay*Dom Parki,10.53
2017-10-03,transporte,Posto Rita Maria,50
2017-10-03,restaurante,Bom Sabor,14
2017-10-04,restaurante,Bom Sabor,14
2017-10-04,restaurante,Massa Viva,5.75
2017-10-05,restaurante,Pan e Conf Santos,6.9
2017-10-05,restaurante,Ilha Cafe,6
2017-10-05,restaurante,Bom Sabor,14
2017-10-05,supermercado,Ang Super Lj,17.3
2017-10-05,saúde,Farmacia Zaza,7
2017-10-06,restaurante,Bom Sabor,14
2017-10-06,supermercado,Mercearia do Galego,16.9
2017-10-06,supermercado,Mercado Js,9.25
2017-10-07,supermercado,Ang Super Lj,10
2017-10-07,restaurante,Bom Sabor,14
2017-10-07,restaurante,Subway,41
2017-10-09,saúde,Farmacia Preco Popular,3.98
2017-10-09,supermercado,Massa Visa,21.8
2017-10-09,,Pagamento recebido,-1509.03
2017-10-10,restaurante,Bom Sabor,14
2017-10-10,supermercado,Ang Super Lj,15.45
2017-10-11,outros,Emporio Doll e Cafe,30
2017-10-11,restaurante,Bom Sabor,14
2017-10-12,restaurante,Bom Sabor,14
2017-10-12,casa,Makro Posto 234 Pt,50
2017-10-12,restaurante,Ilha Cafe,5
2017-10-12,restaurante,Pan e Conf Santos,8
2017-10-13,supermercado,Cristiane Pedroni,17.26
2017-10-14,restaurante,O Forno,40.5
2017-10-17,restaurante,Ilha Cafe,11
2017-10-18,restaurante,Pan e Conf Santos,8.5
2017-10-18,supermercado,Mercearia do Galego,12.2
2017-10-18,restaurante,Bom Sabor,14
2017-10-18,serviços,Netflix.Com,37.9
2017-10-19,supermercado,Mini Mercado Super Bom,4.99
2017-10-19,outros,Registro.Br,40
2017-10-20,serviços,Recarga Tim,30
2017-10-20,transporte,Posto Barreiros,50
2017-10-20,restaurante,Restaurante e Lanchone,14
2017-10-21,,IOF de rotativo,4.91
2017-10-21,,Juros de rotativo,32.59
