date,category,title,amount
2018-12-11,serviços,Recargatim*48998662450,60
2018-12-12,,Pagamento recebido,-200
2018-12-13,transporte,Passepa*Panificadora L,18.8
2018-12-13,transporte,Barcellos Carqueja Cia,53
2018-12-15,transporte,Passepa*Panificadora L,39.74
2018-12-16,,Pagamento recebido,-300
2018-12-17,saúde,Drogaria Catarinense,10.5
2018-12-17,supermercado,Hiper Bom,17.79
2018-12-17,transporte,Posto Galo Interlagos,50
2018-12-17,restaurante,Cantina la Toscana,43.25
2018-12-17,outros,Sorveteria Napoli,21.24
2018-12-17,saúde,Fl Fatima A,16.7
2018-12-17,serviços,Recargatim*48998662450,60
2018-12-18,supermercado,Arbor Cafe,12
2018-12-18,supermercado,Grao Pronto,17.37
2018-12-19,,Rewards - Crédito de compra apagada,-35
2018-12-19,,Rewards - Estorno da assinatura,-1.9
2018-12-20,restaurante,Biten Coffee Beer,8.8
2018-12-20,transporte,Posto Galo Interlagos,52.25
2018-12-20,restaurante,Pizzas Delivery,20
2018-12-21,supermercado,Bistek Supermercados,63.75
2018-12-21,serviços,Andre Otavio Campos,50
2018-12-21,supermercado,Bistek Supermercados,199.98
2018-12-21,restaurante,Jjvv Comercio de Alime,24.8
2018-12-22,restaurante,Rest e Lanc Ceisa,15
2018-12-22,restaurante,Tatu Lanches,17.5
2018-12-24,,IOF de "Easysureshop",8.98
2018-12-24,transporte,Posto Barreiros,60.25
2018-12-24,restaurante,Bobs,23
2018-12-24,vestuário,Easysureshop,140.72
2018-12-27,vestuário,Beagle,269.91
2018-12-27,restaurante,Panificadora Pao e Son,15.75
2018-12-27,transporte,Shopping Park,8
2018-12-27,vestuário,Clifield,39.9
2018-12-27,vestuário,Centauro - Ce,39.99
2018-12-27,casa,Leroy Merlin,7.49
2018-12-28,serviços,Netflix.Com,37.9
2019-01-02,serviços,Mercadolivre,180
2019-01-03,restaurante,Sukocomke,24.75
2019-01-04,supermercado,Bistek Supermercados,9.99
2019-01-04,,Pagamento recebido,-950
2019-01-04,,Pagamento recebido,-1500
2019-01-04,supermercado,Bistek Supermercados,7.1
2019-01-05,restaurante,Ventura Comercio de Al,12
2019-01-05,outros,Ebanx-Spotify,8.5
2019-01-05,casa,Cassol Filial,129.9
2019-01-05,restaurante,Subway,15.8
2019-01-05,eletrônicos,Via Varejo S A 1/2,964.5
2019-01-07,,Pagamento recebido,-150
2019-01-07,restaurante,Pizzas Delivery,75
2019-01-07,supermercado,Super Imperatriz Lj,18.2
2019-01-08,transporte,Dom Parking,10
2019-01-09,eletrônicos,Via Varejo S A 2/2,964.5
2019-01-09,,Desconto Antecipação Via Varejo S A,-3.53
2019-01-09,,Pagamento recebido,-1000
2019-01-11,restaurante,Jjvv Comercio de Alime,18.8
