date,category,title,amount
2016-09-18,outros,Saraiva Com 6/11,6.9
2016-09-18,outros,Saraiva Com 6/7,5.12
2016-09-18,outros,Saraiva Com 6/8,5.61
2016-09-18,vestuário,Decathlon 3/3,89.99
2016-09-26,transporte,Posto Avenida das Torr,30
2016-09-26,outros,Saraiva Com 8/8,5.61
2016-09-26,outros,Saraiva Com 11/11,6.9
2016-09-26,outros,Saraiva Com 8/11,6.9
2016-09-26,outros,Saraiva Com 9/11,6.9
2016-09-26,outros,Saraiva Com 10/11,6.9
2016-09-26,outros,Saraiva Com 7/11,6.9
2016-09-26,,Pagamento recebido,-382.91
2016-09-26,outros,Saraiva Com 7/8,5.61
2016-09-26,serviços,Recarga Tim,15
2016-09-26,outros,Saraiva Com 7/7,5.12
2016-10-03,restaurante,Mini Kalzone,19
2016-10-03,lazer,Cinemark Florianopolis,37.5
2016-10-03,transporte,Allpark Floripa Shop,12
2016-10-03,serviços,Recarga Tim,15
2016-10-03,transporte,Posto Rita Maria,50
2016-10-03,restaurante,Valter Leonel Lourenco,34.1
2016-10-03,restaurante,Padaria Souza,34.41
2016-10-04,restaurante,Cadu Lanches e Porcoes,3.5
2016-10-04,restaurante,Cadu Lanches e Porcoes,20
2016-10-04,transporte,Posto Raio de Sol,50
2016-10-07,,Pagamento recebido,-478.97
2016-10-10,supermercado,Bistek Supermercados,71.92
2016-10-11,restaurante,Frutos de Goias,29
2016-10-11,restaurante,Pan e Conf Santos,5.25
2016-10-13,transporte,Posto Viaduto,50
2016-10-13,serviços,Ida Toebe,8.98
2016-10-13,restaurante,O Forno,56.5
2016-10-13,supermercado,Supermercado Super Com,27.8
2016-10-13,restaurante,Cia do Suco,12
