date,category,title,amount
2018-05-15,restaurante,Cidral e Noronha Alime,7.58
2018-05-15,supermercado,Ang Super Lj,5.01
2018-05-15,restaurante,Ilha Cafe,21.5
2018-05-17,restaurante,Ilha Cafe,12
2018-05-17,transporte,Posto Onix,50
2018-05-17,serviços,Ud**Emycom4142370,23.99
2018-05-18,saúde,Panvel Farmacias,37.99
2018-05-18,supermercado,Ang Super Lj,23.29
2018-05-18,serviços,Netflix.Com,37.9
2018-05-19,restaurante,Pan e Conf Santos,6.5
2018-05-19,supermercado,Ang Super Lj,5.21
2018-05-21,restaurante,Pag*Restaurantevojoao,7.5
2018-05-22,,Rewards - Assinatura,19
2018-05-22,restaurante,Pag*Silvamarmitex,22
2018-05-23,outros,Www*Sympla,77
2018-05-23,saúde,Florianopolis,6
2018-05-23,supermercado,Ang Super Lj,15.27
2018-05-24,restaurante,Ilha Cafe,6
2018-05-25,outros,Emporio Doll e Cafe,11.7
2018-05-26,saúde,Farmaciasempre Popular,8
2018-05-28,serviços,Olx F289b938ea,55.99
2018-05-29,supermercado,Sacolao Avenida,12.6
2018-05-29,casa,Bela Caes e Gatos,8
2018-05-30,supermercado,Super Imperatriz Lj,13.42
2018-06-01,serviços,Ud**Emycom7937080,21.99
2018-06-02,viagem,Azul Linhas,357.63
2018-06-02,serviços,Ki Barbearia,50
2018-06-02,restaurante,Thoff'S Sorvetes,5
2018-06-02,lazer,Eventbrite Bdbd-2 Dias,604.95
2018-06-04,serviços,Ida Toebe,23.66
2018-06-04,restaurante,Degustar,9
2018-06-06,supermercado,Ang Super Lj,26.61
2018-06-08,supermercado,Super Imperatriz Lj,2.99
2018-06-08,supermercado,Ang Super Lj,1.95
2018-06-09,restaurante,Ilha Cafe,12
