date,category,title,amount
2017-12-15,,Rewards - Crédito de compra apagada,-37.9
2017-12-18,serviços,Netflix.Com,37.9
2017-12-21,supermercado,Big Flrn Cap Pdv,28.03
2017-12-21,restaurante,Bob S,6
2017-12-22,,Rewards - Assinatura,19
2017-12-23,,Rewards - Crédito de compra apagada,-37.9
2017-12-26,,Pagamento recebido,-66.66
2018-01-05,,Pagamento recebido,-1000
2018-01-06,transporte,Posto Barreiros,50
2018-01-08,educação,Livraria Nobel Sao Jos,147.5
2018-01-08,restaurante,Bobs,6
2018-01-08,serviços,Itaguacu,8
2018-01-08,supermercado,Sacolao Avenida,25.15
2018-01-09,saúde,Farmacias Menor Preco,16.02
2018-01-09,serviços,Farmacias Sao Joao Sao,33.39
2018-01-10,supermercado,Bistek Supermercados,64.71
2018-01-11,transporte,Posto Avenida das Torr,50
