date,category,title,amount
2016-12-18,vestuário,Tracton Ind Com Confec 2/3,33.3
2016-12-19,supermercado,Frutos de Goias,32
2016-12-19,restaurante,Bobs,12
2016-12-19,restaurante,Panela de Ferro,29.05
2016-12-19,eletrônicos,Payleven,60
2016-12-19,transporte,Falcao Escapamentos,140
2016-12-19,transporte,Posto Galo Shopping,50
2016-12-19,outros,Priscila Vieira,25
2016-12-20,restaurante,O Forno,34.25
2016-12-20,restaurante,Panela de Ferro,31.66
2016-12-20,eletrônicos,Havan Lojas Deptos,51.98
2016-12-20,vestuário,By Tennis By34,29.99
2016-12-20,restaurante,Burger King,12
2016-12-20,transporte,Posto Helix,50
2016-12-20,,Pagamento recebido,-752.83
2016-12-20,,Desconto Antecipação Tracton Ind Com Confec,-0.19
2016-12-20,restaurante,Panif e Confeitaria Ss,17.1
2016-12-20,vestuário,Tracton Ind Com Confec 3/3,33.3
2016-12-20,transporte,Allpark Floripa Shop,5
2016-12-21,transporte,Julio Pneus,50
2016-12-21,serviços,Recarga Tim,15
2016-12-22,transporte,Posto Rita Maria,50
2016-12-22,restaurante,da Ilha Pastelaria,31
2016-12-23,serviços,Donna Fashion,25
2016-12-23,serviços,Salao Cherry,15
2016-12-23,transporte,Sportrodas 1/6,280.85
2016-12-23,supermercado,Mercado Super Compras,25.98
2016-12-26,restaurante,Bobs Palladium Q1,11
2016-12-26,restaurante,Cafe Beirutte,4
2016-12-26,supermercado,Big Flrn Cap Pdv,21.61
2016-12-26,transporte,Posto Galo Interlagos,163.52
2016-12-26,restaurante,Panela de Ferro,17.71
2016-12-26,viagem,Magic Games Empreendim,6
2016-12-28,supermercado,Mercado Super Compras,12.29
2016-12-30,saúde,Farmacia Preco Popular,19.1
2016-12-30,supermercado,Bistek Supermercados,35.24
2017-01-02,restaurante,Sabor da Ilha,29
2017-01-02,supermercado,Bistek Supermercados,17.27
2017-01-02,transporte,Posto Helix,100
2017-01-02,lazer,Blueticket,88
2017-01-03,supermercado,Supermercado Super Com,15.85
2017-01-09,serviços,Recarga Tim,30
2017-01-13,supermercado,Big Flrn Cap Pdv,20.37
2017-01-16,transporte,Allpark Floripa Shop,6
