date,category,title,amount
2016-04-25,,Antecipação de "Saraiva Com",6.9
2016-04-30,,Antecipação de "Saraiva Com",5.61
2016-05-05,,Antecipação de "Saraiva Com",5.12
2016-05-24,outros,Saraiva Com 2/11,6.9
2016-05-24,outros,Saraiva Com 2/7,5.12
2016-05-24,outros,Saraiva Com 2/8,5.61
2016-05-28,outros,Paypal do Brasil,1
2016-05-29,casa,Agropet Vendaval,47
2016-05-29,supermercado,Bistek Supermercados,15.89
2016-05-29,saúde,Farmacia Preco Popular,44.75
2016-05-29,serviços,Recarga Tim,15
2016-05-31,,Estorno de juros de rotativo,-0.02
2016-05-31,transporte,Posto Avenida das Torr,50
2016-06-02,serviços,Paypal Johndelara1,105.88
2016-06-08,,Estorno de "Paypal do Brasil",-6.01
2016-06-10,outros,Paypal do Brasil,6.01
2016-06-10,serviços,Paypal Johndelara1,1
2016-06-11,,Juros de rotativo,0.02
2016-06-13,outros,Recargapay Aadewn,9.99
2016-06-17,,Juros de rotativo,0.57
2016-06-17,,IOF de rotativo,0.08
