date,category,title,amount
2017-03-18,transporte,Sportrodas 4/6,280.83
2017-03-20,transporte,Allpark Floripa Shop,9
2017-03-20,serviços,Pg Documentodoes,39.9
2017-03-20,supermercado,Conveniencia Ingleses,50
2017-03-20,supermercado,Nacional Florian,29.72
2017-03-20,lazer,Ingresso Com,35.82
2017-03-21,restaurante,Pan e Conf Santos,8
2017-03-21,restaurante,Cia do Suco,9
2017-03-22,restaurante,Cia Sucos,13
2017-03-22,transporte,Dom Parking,20
2017-03-22,restaurante,Ilha Cafe,5
2017-03-23,saúde,Otica do Canto,760
2017-03-23,restaurante,Subway,30.25
2017-03-23,restaurante,Cia Sucos,18
2017-03-27,serviços,Recarga Tim,30
2017-03-27,serviços,Joao Mario da Luz,25
2017-03-27,eletrônicos,Payleven,70
2017-03-27,restaurante,Sesc Ca Estreito,50
2017-03-27,supermercado,Supermercado Super Com,14.68
2017-03-29,transporte,Posto Rita Maria,50
2017-03-29,restaurante,Panela de Ferro,17
2017-03-30,supermercado,Mercearia do Galego,21.8
2017-03-31,supermercado,Efata Com de Alim,24
2017-03-31,restaurante,Bom Sabor,13
2017-04-03,restaurante,Bom Sabor,13
2017-04-04,restaurante,Novos Sabores,13
2017-04-05,restaurante,Ilha Cafe,8
2017-04-05,transporte,Sao Domingos Parking,14
2017-04-06,restaurante,Bom Sabor,13
2017-04-06,transporte,Dom Parking,10
2017-04-06,restaurante,Bom Sabor,13
2017-04-06,supermercado,Massa Viva,16.75
2017-04-07,restaurante,Ilha Cafe,13
2017-04-07,restaurante,Bom Sabor,13
2017-04-07,transporte,Posto Galo Shopping,50
2017-04-10,outros,Leonete Probst,21
2017-04-11,,Pagamento recebido,-1821.75
2017-04-13,transporte,Posto Helix,50
2017-04-14,supermercado,Big Flrn Cap Pdv,51.84
2017-04-14,supermercado,Bistek Supermercados,103.2
2017-04-14,transporte,Emporio do Cereal,7.54
2017-04-14,supermercado,Emporio de Sereal,13.8
