date,category,title,amount
2018-11-12,serviços,Pg *Hontinger,359.64
2018-11-13,serviços,Aeropay*Dom Parki,20
2018-11-13,restaurante,Marcos la,14.5
2018-11-14,restaurante,Tatu Lanc,17.5
2018-11-15,transporte,Posto Fenix,50
2018-11-18,,Pagamento recebido,-100
2018-11-20,restaurante,Pag*Hotdogenatura,22
2018-11-20,transporte,Nino Pecas e Acessorio,630
2018-11-21,transporte,J H Filtros e Lubrific,100.5
2018-11-22,transporte,Posto Vila Rica Iv,50
2018-11-22,transporte,Passepa*Panificadora L,5.93
2018-11-22,,Rewards - Assinatura,19
2018-11-23,restaurante,Ilha Cafe,8
2018-11-24,,Pagamento recebido,-800
2018-11-26,restaurante,Boteco Ze Mane,57.2
2018-11-26,,Pagamento recebido,-100
2018-11-26,transporte,Posto Coqueiros,19.8
2018-11-26,restaurante,Restauran,12
2018-11-27,supermercado,Ang Super Lj,3.99
2018-11-28,outros,Sorveteri,16.77
2018-11-28,transporte,Posto Santa Monica,50
2018-11-28,serviços,Netflix.Com,37.9
2018-11-29,restaurante,Tatu Lanc,32.5
2018-11-30,,Pagamento recebido,-300
2018-12-01,supermercado,Bistro,9.5
2018-12-01,transporte,Auto Post,51.99
2018-12-01,transporte,Passepa*Panificadora L,6.34
2018-12-01,viagem,Sao Jose,79
2018-12-01,restaurante,Dgust Creperia,16.5
2018-12-01,supermercado,Emporium Doll,13.95
2018-12-03,supermercado,Ang Super Lj,3.76
2018-12-03,restaurante,Restauran,35
2018-12-03,transporte,Auto Post,50
2018-12-03,transporte,Posto Avenida das Torr,50
2018-12-03,restaurante,Restaurante Mundial,12
2018-12-04,,Pagamento recebido,-200
2018-12-05,serviços,Vakinha,25
2018-12-05,serviços,Pag*Visum,29.9
2018-12-05,serviços,Ecspotify,8.5
2018-12-06,supermercado,Massa Viva Mini Calzon,10
2018-12-06,serviços,Aeropay*Dom Parki,10
2018-12-06,supermercado,Massa Viva Mini Calzon,10
2018-12-07,restaurante,Pag*Hotdogenatura,22
2018-12-07,restaurante,Ilha Cafe,3.5
2018-12-10,restaurante,Quatro Qu,55
