date,category,title,amount
2017-11-13,transporte,Posto Agua Marinha,8.5
2017-11-14,supermercado,Abn Produtos Naturais,18.45
2017-11-15,educação,Saraiva Com,302.9
2017-11-15,restaurante,Bom Sabor,15
2017-11-15,restaurante,Bobs,6
2017-11-15,restaurante,Dutomaz Comercio de Al,11.5
2017-11-16,restaurante,Padaria e Conf Assis,12.3
2017-11-16,supermercado,Cristiane Pedroni,6.99
2017-11-17,restaurante,Bom Sabor,15
2017-11-18,serviços,Netflix.Com,37.9
2017-11-18,serviços,Itaguacu,6
2017-11-18,restaurante,Bom Sabor,15
2017-11-18,restaurante,Arcoiris Bombonieres,12
2017-11-18,transporte,Posto Galo Shopping,50
2017-11-18,restaurante,Subway,33.75
2017-11-20,restaurante,Europa Cafe Bar,15.8
2017-11-20,supermercado,Bistek Supermercados,206.93
2017-11-21,,Variação cambial,-0.78
2017-11-21,restaurante,Bom Sabor,15
2017-11-21,supermercado,Ang Super Lj,15.75
2017-11-22,restaurante,Bom Sabor,15
2017-11-22,restaurante,Bobs,6
2017-11-22,,Rewards - Assinatura,19
2017-11-22,restaurante,Mini Kalzone,13.5
2017-11-22,supermercado,Abn Produtos Naturais,12.6
2017-11-23,restaurante,Bom Sabor,15
2017-11-23,,Pagamento recebido,-300
2017-11-23,saúde,Farma Cris,12.9
2017-11-24,serviços,Recarga Tim,30
2017-11-24,restaurante,Ilha Cafe,7
2017-11-24,restaurante,Bom Sabor,15
2017-11-24,restaurante,Jjvv Comercio de Alime,29
2017-11-25,supermercado,Bistek Supermercados,48.65
2017-11-25,restaurante,Bom Sabor,15
2017-11-28,supermercado,Ang Super Lj,14.27
2017-11-28,transporte,Beiramar Park Estac,8
2017-11-28,restaurante,Bom Sabor,15
2017-11-28,transporte,Posto Galo,56
2017-11-29,restaurante,Bom Sabor,15
2017-11-29,supermercado,Ang Super Lj,14.72
2017-11-30,supermercado,Ang Super Lj,12.75
2017-11-30,restaurante,Bom Sabor,15
2017-11-30,transporte,Posto Rita Maria,54.5
2017-12-01,restaurante,Bom Sabor,15
2017-12-05,supermercado,Bistek Supermercados,38
2017-12-05,supermercado,Mercearia do Galego,22.23
2017-12-05,restaurante,Bom Sabor,15
2017-12-06,supermercado,Bistek Supermercados,30.12
2017-12-06,transporte,Posto Onix,50
2017-12-06,restaurante,Bom Sabor,15
2017-12-06,,Pagamento recebido,-875.68
2017-12-07,restaurante,Bom Sabor,15
2017-12-07,,Pagamento recebido,-130.61
2017-12-07,supermercado,Bistek Supermercados,19.04
