date,category,title,amount
2018-02-12,supermercado,Super Imperatriz Lj,19.9
2018-02-12,,Rewards - Crédito de compra apagada,-37.9
2018-02-15,restaurante,Padaria Santo Antoni,5
2018-02-15,supermercado,Super Imperatriz Lj,58.08
2018-02-15,supermercado,Super Imperatriz Lj,52.43
2018-02-15,supermercado,Super Imperatriz Lj,17.28
2018-02-16,supermercado,Super Imperatriz Lj,46.98
2018-02-16,eletrônicos,Zerone Games,60
2018-02-19,transporte,Posto Galo Shopping,59
2018-02-19,serviços,Itaguacu,8
2018-02-19,supermercado,Super Imperatriz,7.24
2018-02-19,serviços,Netflix.Com,37.9
2018-02-19,restaurante,Fruto de Goias,17.5
2018-02-19,vestuário,Lr de A Silva Sobran,70
2018-02-20,restaurante,Pag*Silvamarmitex,20.9
2018-02-20,transporte,Posto Helix,50
2018-02-20,restaurante,Subway,24
2018-02-20,saúde,Farmacia Zaza,7
2018-02-21,serviços,Ki Barbearia,30
2018-02-21,supermercado,Super Imperatriz Lj,91.83
2018-02-21,supermercado,Super Imperatriz Lj,6.69
2018-02-22,restaurante,Pag*Silvamarmitex,12.4
2018-02-22,outros,Paypal *Envato Mkpl,766.02
2018-02-22,,IOF de "Paypal *Envato Mkpl",48.87
2018-02-22,,Rewards - Assinatura,19
2018-02-22,transporte,101 Velocimetros,100
2018-02-22,transporte,Eletro Paulinho Ltda M,60
2018-02-23,serviços,Olx Olx,23.99
2018-02-24,outros,Registrobr,40
2018-02-27,transporte,Posto Galo,52.5
2018-02-28,restaurante,Pag*Silvamarmitex,24.8
2018-02-28,transporte,Posto Mauro Ramos,50
2018-02-28,restaurante,Dibi Mussi Pizza,36.4
2018-02-28,restaurante,Dibi Mussi Pizza,4.19
2018-03-02,restaurante,Pag*Silvamarmitex,24.8
2018-03-03,restaurante,Ilha Cafe,6
2018-03-05,serviços,Ida Toebe,8.89
2018-03-06,restaurante,Biguacu Lanches,5
2018-03-06,restaurante,Pag*Silvamarmitex,12.4
2018-03-07,,Pagamento recebido,-1500.07
2018-03-09,serviços,Aeropay*Dom Parki,15.79
2018-03-09,supermercado,Supermercados Imperatr,24.64
