date,category,title,amount
2016-07-18,transporte,Posto Galo Shopping,50
2016-07-22,serviços,Recarga Tim,30
2016-07-25,transporte,Pst Rio Vermelho,50
2016-07-25,supermercado,Cacau Show,31.8
2016-07-25,eletrônicos,Help Cell,89
2016-07-25,outros,Saraiva Com 4/11,6.9
2016-07-25,transporte,Allpark Floripa Shop,5
2016-07-25,outros,Saraiva Com 4/7,5.12
2016-07-25,saúde,Farmacia Sos,17.68
2016-07-25,vestuário,Decathlon 1/3,90.01
2016-07-25,transporte,Allpark Floripa Shop,5
2016-07-25,outros,Saraiva Com 4/8,5.61
2016-07-26,,Pagamento recebido,-97.48
2016-07-29,restaurante,Dutomaz Comercio de Al,5.25
2016-07-29,restaurante,Dutomaz Comercio de Al,12.9
2016-08-01,transporte,Posto Marilu,50
2016-08-03,lazer,Ingresso Com,64.35
2016-08-04,transporte,Posto Galo Shopping,50
2016-08-04,restaurante,Pan e Conf Santos,10.65
2016-08-08,lazer,Continente Park Sao Jo,40.5
2016-08-08,transporte,Posto Galo Interlagos,52.9
2016-08-08,restaurante,Subway,22
2016-08-08,serviços,Recarga Tim,20
2016-08-09,restaurante,Panif e Confeitaria Ss,6.5
2016-08-10,,Pagamento recebido,-721.17
