date,category,title,amount
2017-05-18,restaurante,Laudenir P Martins,10
2017-05-18,transporte,Sportrodas 6/6,280.83
2017-05-18,saúde,Farmacia Roma,27.5
2017-05-18,restaurante,Bom Sabor,13
2017-05-18,supermercado,Hiper Fruti Direto do,18.64
2017-05-18,saúde,Farmacia Preco Popular,73.74
2017-05-18,supermercado,Bistek Supermercados,55.99
2017-05-18,supermercado,Emporio de Sereal,12.4
2017-05-19,supermercado,Ang Super Lj,4.75
2017-05-19,restaurante,Panela de Ferro,19.5
2017-05-19,restaurante,Ilha Cafe,5
2017-05-20,restaurante,Subway,27
2017-05-20,restaurante,Star Fischer Cafe,14
2017-05-20,lazer,Circuito Espaco Cinema,15
2017-05-20,transporte,Beiramar Park Estac,16
2017-05-20,restaurante,Bom Sabor,13
2017-05-20,transporte,Posto Galo Estreito,136.99
2017-05-22,supermercado,Supermercado Super Com,5.58
2017-05-22,supermercado,Ang Super Lj,9.98
2017-05-22,supermercado,Ang Super Lj,36.14
2017-05-23,restaurante,Suprema Cafeteria,5
2017-05-23,saúde,Panvel Filial,22.83
2017-05-23,serviços,Pagsegurouol*Rodrigogf,100
2017-05-23,restaurante,Bom Sabor,13
2017-05-25,restaurante,Laudenir P Martins,10
2017-05-25,,Variação cambial,2.7
2017-05-26,restaurante,Laudenir P Martins,10
2017-05-27,supermercado,Big Flrn Cap Pdv,39.8
2017-05-27,restaurante,Bom Sabor,13
2017-05-30,restaurante,Bom Sabor,13
2017-05-30,supermercado,Massa Viva Mini Calzon,13
2017-05-31,lazer,San Corpore Academia,30
2017-05-31,supermercado,Supermerc Imperatriz,30.59
2017-05-31,restaurante,Bom Sabor,14
2017-06-01,restaurante,Laudenir P Martins,10
2017-06-01,restaurante,Ilha Cafe,5
2017-06-01,restaurante,Bom Sabor,14
2017-06-02,restaurante,Ilha Cafe,6
2017-06-02,restaurante,Ilha Cafe,9.5
2017-06-02,restaurante,Bom Sabor,14
2017-06-02,restaurante,Laudenir P Martins,10
2017-06-02,serviços,Recarga Tim,30
2017-06-07,,Pagamento recebido,-1245.46
2017-06-07,serviços,Recarga Tim,30
2017-06-08,serviços,Pagsegurouol*Ricardori,470
2017-06-08,,Pagamento recebido,-470
2017-06-12,supermercado,Ang Super Lj,24.95
2017-06-12,supermercado,Ang Super Lj,12.44
2017-06-12,supermercado,Supermercado Alianca,13.74
2017-06-13,restaurante,Bom Sabor,14
2017-06-13,supermercado,Ang Super Lj,10.08
2017-06-14,transporte,Posto Galo Barreiros,129.9
2017-06-14,restaurante,Bom Sabor,14
2017-06-14,restaurante,Ilha Cafe,5
