date,category,title,amount
2019-01-12,supermercado,Ca1000,3.5
2019-01-14,supermercado,Hiper Bom,25.95
2019-01-14,restaurante,Sukocomke,16.85
2019-01-14,restaurante,Bobs,16.5
2019-01-14,supermercado,Bistek Supermercados,106.75
2019-01-14,saúde,Sao Joao Farmacias,29.8
2019-01-15,supermercado,Ca1000,3.5
2019-01-17,supermercado,Ca1000,3.5
2019-01-18,transporte,Posto Fenix,50
2019-01-18,supermercado,Super Imperatriz Lj,20.36
2019-01-19,supermercado,Pratomil R.U.,3.5
2019-01-19,restaurante,Pag*Hotdogenatura,22
2019-01-19,supermercado,Pratomil R.U.,3.5
2019-01-21,restaurante,Garcia e Tonolli,44.44
2019-01-21,saúde,Sao Joao Farmacias,20.95
2019-01-22,supermercado,Pratomil R.U.,3.5
2019-01-22,transporte,Auto Posto Uly,70
2019-01-22,supermercado,Ca1000,2.5
2019-01-23,supermercado,Ca1000,2.5
2019-01-23,saúde,Sesi Farmacia Fm,39.42
2019-01-24,serviços,Ki Barbearia,55
2019-01-24,restaurante,Graos da Terra Produto,22
2019-01-24,supermercado,Sorveteria Napoli,52
2019-01-25,supermercado,Ca1000,3.5
2019-01-27,,Pagamento recebido,-744
2019-01-28,supermercado,Sorveteria Napoli,18.8
2019-01-28,supermercado,Sorveteria Napoli,31.35
2019-01-28,transporte,Posto Onix,94
2019-01-28,supermercado,Sorveteria Napoli,4
2019-01-28,serviços,Netflix.Com,37.9
2019-01-30,supermercado,Pratomil R.U.,1
2019-01-31,supermercado,Pratomil R.U.,1
2019-01-31,supermercado,Pratomil R.U.,3
2019-02-01,supermercado,Pratomil R.U.,2
2019-02-04,restaurante,Espetinho de Ouro,48.95
2019-02-04,vestuário,Centauro Ce,39.99
2019-02-04,restaurante,Mr Picole,10
2019-02-04,transporte,Shopping Park,10
2019-02-04,lazer,Continente Park Sao Jo,30
2019-02-04,restaurante,Subway,29.9
2019-02-04,vestuário,Centauro Ce,19.99
2019-02-04,vestuário,Makenji,369.8
2019-02-04,restaurante,Mr Picole,8
2019-02-04,transporte,Posto Santa Monica,77
2019-02-05,supermercado,Ca1000,3.5
2019-02-05,outros,Ebanx-Spotify,8.5
2019-02-05,supermercado,Pratomil R.U.,3.5
2019-02-06,supermercado,Pratomil R.U.,1
2019-02-06,,Pagamento recebido,-667.11
2019-02-07,restaurante,Panificadora Melo,11.07
2019-02-08,supermercado,Pratomil R.U.,6.5
2019-02-09,supermercado,Ca1000,3.5
2019-02-09,supermercado,Bistek Supermercados,92.53
2019-02-09,,Pagamento recebido,-215.84
2019-02-09,supermercado,Ca1000,3.5
