date,category,title,amount
2016-11-17,lazer,Ingresso Com,67.65
2016-11-18,,Pagamento recebido,-15
2016-11-18,serviços,Recarga Tim,15
2016-11-18,,Pagamento recebido,-82.65
2016-11-29,serviços,Recarga Tim,15
2016-11-29,outros,Googleadwordsbr Adws99,50
2016-11-29,restaurante,Cia do Suco,13
2016-12-01,restaurante,Cia do Suco,18
2016-12-01,supermercado,Bistek Supermercados,9.01
2016-12-01,saúde,Verde Ilha,35
2016-12-05,restaurante,Pan e Conf Santos,9
2016-12-05,casa,Conexao Animal,200
2016-12-05,eletrônicos,Pagsegurouol Eletracha,10
2016-12-05,restaurante,Laudenir P Martins,28
2016-12-05,restaurante,Via Crispim Restaurant,16.73
2016-12-05,supermercado,Bistek Supermercados,47.75
2016-12-05,eletrônicos,Payleven,85
2016-12-05,supermercado,Bistek Supermercados,50.37
2016-12-06,restaurante,Cia do Suco,11
2016-12-06,restaurante,Pan e Conf Santos,15
2016-12-06,supermercado,Bistek Supermercados,43.21
2016-12-07,supermercado,Bistek Supermercados,49.24
2016-12-07,restaurante,Panela de Ferro,25.03
2016-12-08,restaurante,Esquina Lanches,6
2016-12-08,casa,Torres Casa Construcao,16
2016-12-09,restaurante,Panela de Ferro,27.5
2016-12-09,supermercado,Bistek Supermercados,19.75
2016-12-09,casa,Braconortense Moveis,50
2016-12-12,supermercado,Bistek Supermercados,25.54
2016-12-12,supermercado,Mercado Dois Irmaos,4.25
2016-12-12,supermercado,Verdureira Estar Bem,12.69
2016-12-12,lazer,Sesc Florianopolis,30
2016-12-12,restaurante,Mcdonalds Sfl,17
2016-12-12,saúde,Farmaciasempre Popular,7.98
2016-12-12,restaurante,O Forno,56.5
2016-12-13,restaurante,Esquina Lanches,6
2016-12-14,,Pagamento recebido,-1092.75
2016-12-14,vestuário,Tracton Ind Com Confec 1/3,33.3
2016-12-15,outros,Groupon Groupon,49.9
2016-12-16,supermercado,Supermercado Super Com,11.19
2016-12-16,restaurante,Pan e Conf Santos,30.2
