date,category,title,amount
2018-04-12,restaurante,Via Crispim Restaurant,22
2018-04-12,supermercado,Ang Super Lj,32.92
2018-04-12,outros,Paypal*Globalcode,503.5
2018-04-13,,Pagamento recebido,-247.87
2018-04-13,restaurante,Biguacu Lanches,10
2018-04-14,restaurante,Via Crispim Restaurant,28.76
2018-04-14,saúde,Farm Preco Popular,21.39
2018-04-14,restaurante,Ilha Cafe,11
2018-04-16,supermercado,Mercado Super Norte,22.5
2018-04-16,supermercado,Mercado Economia,8.86
2018-04-18,serviços,Netflix.Com,37.9
2018-04-20,supermercado,Pag*Lacrepiocafoodtru,12
2018-04-21,supermercado,Ang Super Lj,9.85
2018-04-21,supermercado,Bistek Supermercados,106.52
2018-04-22,,Rewards - Assinatura,19
2018-04-24,restaurante,Ilha Cafe,6
2018-04-24,restaurante,Pag*Silvamarmitex,11
2018-04-24,supermercado,Abn Produtos Naturais,5
2018-04-25,restaurante,Ilha Cafe,6
2018-04-25,restaurante,Biguacu Lanches,8.5
2018-04-25,restaurante,Pag*Caldodecana,4
2018-04-26,restaurante,Pag*Silvamarmitex,11
2018-04-26,restaurante,Tatu Lanches,16.5
2018-04-26,restaurante,Pag*Caldodecana,4
2018-04-27,restaurante,Pinhall Sucos,12
2018-04-28,transporte,Heidermaq,67.49
2018-04-28,restaurante,Suco e Vida,5.5
2018-04-28,transporte,Posto Onix,50
2018-04-28,supermercado,Hiper Fruti Direto do,8.76
2018-04-28,restaurante,Ilha Cafe,5.5
2018-05-01,supermercado,Massa Visa,10.9
2018-05-01,supermercado,Bistek Supermercados,43.89
2018-05-03,restaurante,Ilha Cafe,2
2018-05-03,restaurante,Pag*Silvamarmitex,11
2018-05-04,,Pagamento recebido,-700
2018-05-05,supermercado,Ang Super Lj,7.45
2018-05-07,serviços,Ida Toebe,15.74
2018-05-07,supermercado,Mercado Super Norte,12.18
2018-05-07,,Rewards - Crédito de compra apagada,-37.9
