date,category,title,amount
2017-06-23,restaurante,Ilha Cafe,5
2017-06-23,restaurante,Bom Sabor,14
2017-06-24,supermercado,Supermercado Super Com,14.84
2017-06-24,restaurante,Bom Sabor,14
2017-06-26,transporte,Pst Rio Vermelho,50
2017-06-26,supermercado,Supermercado Super Com,38.2
2017-06-27,restaurante,Bom Sabor,14
2017-06-27,supermercado,Ang Super Lj,11.35
2017-06-28,restaurante,Ilha Cafe,12
2017-06-28,serviços,Ud*Emy35123312,25
2017-06-28,restaurante,Bom Sabor,14
2017-06-29,restaurante,Restaurante Paladar,6
2017-06-29,supermercado,Bistek Supermercados,21.51
2017-06-29,transporte,Emporio do Cereal,14.75
2017-06-29,restaurante,Bom Sabor,14
2017-06-30,restaurante,Personal Hot Gogs,2.75
2017-06-30,restaurante,Personal Hot Gogs,15
2017-06-30,restaurante,Cia Sucos,7.6
2017-06-30,restaurante,Bom Sabor,14
2017-06-30,serviços,Pg *Hontinger,56.97
2017-07-01,supermercado,Bistek Supermercados,87.35
2017-07-01,serviços,Recarga Tim,30
2017-07-01,transporte,Posto Galo Centro,100
2017-07-04,supermercado,Ang Super Lj,31.18
2017-07-05,restaurante,Bom Sabor,14
2017-07-05,restaurante,Ilha Cafe,11
2017-07-06,supermercado,Ang Super Lj,7.47
2017-07-06,restaurante,Bom Sabor,14
2017-07-06,supermercado,Ang Super Lj,4.99
2017-07-06,restaurante,Cia Sucos,12
2017-07-07,restaurante,Ilha Cafe,11
2017-07-07,restaurante,Restaurante e Lanchone,14
2017-07-07,supermercado,Ang Super Lj,7.08
2017-07-07,supermercado,Bistek Supermercados,12.65
2017-07-07,restaurante,Pan e Conf Santos,7.3
2017-07-08,restaurante,Bom Sabor,14
2017-07-10,,Pagamento recebido,-977.08
2017-07-10,supermercado,Ang Super Lj,9.98
2017-07-20,eletrônicos,Havan Importados,329.98
2017-07-21,,Juros de rotativo,11.93
2017-07-21,,IOF de rotativo,1.44
