date,category,title,amount
2018-09-11,restaurante,Panificadora e Confeit,22.42
2018-09-11,restaurante,Panificadora Pao Quent,14.5
2018-09-12,restaurante,Panificadora e Confeit,18.16
2018-09-12,transporte,Posto Cury Filial,191.36
2018-09-14,,Pagamento recebido,-270
2018-09-14,,Pagamento recebido,-32.69
2018-09-15,restaurante,Pizzas Delivery,35
2018-09-17,restaurante,Tatu Lanc,35
2018-09-17,restaurante,Pag*Rosimarysantossag,21
2018-09-18,restaurante,Pag*Hotdogenatura,22
2018-09-18,,Pagamento recebido,-110
2018-09-19,restaurante,Evelynmarmit,29
2018-09-20,restaurante,Subway,30
2018-09-21,transporte,Passepa*Panificadora L,14.28
2018-09-21,,Pagamento recebido,-50
2018-09-22,,Rewards - Assinatura,19
2018-09-25,supermercado,Ang Super Lj,10.86
2018-09-25,supermercado,Ang Super Lj,8.55
2018-09-25,transporte,Barcellos Carqueja Cia,50
2018-09-27,,Pagamento recebido,-300
2018-09-27,restaurante,Dibi Mussi Pizza,42.63
2018-09-28,restaurante,Subway,42
2018-09-28,serviços,Ki Barbearia,30
2018-09-28,restaurante,Tatu Lanches,22.5
2018-09-28,transporte,Posto Gal,50
2018-09-28,serviços,Netflix.Com,37.9
2018-09-29,,Pagamento recebido,-60
2018-10-01,supermercado,Bistek Supermercados,52.6
2018-10-01,,Pagamento recebido,-127.81
2018-10-02,saúde,Panvel Farmacias,5.99
2018-10-03,serviços,Google Play Forest App,7.99
2018-10-03,outros,Sorveteria Napoli,22.36
2018-10-03,transporte,Posto Oni,102
2018-10-04,supermercado,Jose dos Passos Borg,11.5
2018-10-05,restaurante,Tatu Lanches,23
2018-10-05,outros,Ebanx-Spo,8.5
2018-10-05,transporte,Passepa*Panificadora L,22.25
2018-10-06,restaurante,Pag*Hotdogenatura,11
2018-10-06,supermercado,Sorveteria Napoli,7.5
2018-10-08,restaurante,Quatro Qu,55
2018-10-08,,Pagamento recebido,-250
2018-10-08,serviços,Recargatim*48998662450,50
2018-10-09,supermercado,Sorveteria Napoli,17.78
2018-10-09,saúde,Panvel Farmacias,35.99
2018-10-09,vestuário,Pag*Supermodas,18
2018-10-10,serviços,Recargatim*48998662450,20
