date,category,title,amount
2017-07-21,supermercado,Bistek Supermercados,63.16
2017-07-21,supermercado,Supermerc Imperatriz,10.07
2017-07-22,supermercado,Ang Super Lj,17.94
2017-07-24,restaurante,Padaria e Conf Assis,10
2017-07-24,serviços,Ida Toebe,2.6
2017-07-25,restaurante,Bom Sabor,14
2017-07-25,supermercado,Ang Super Lj,13.75
2017-07-26,supermercado,Supermerc Imperatriz,8.04
2017-07-26,restaurante,Bom Sabor,14
2017-07-27,restaurante,Suco,12.5
2017-07-27,restaurante,Bom Sabor,14
2017-07-27,saúde,Farmacia Preco Popular,5.7
2017-07-27,supermercado,Bistek Supermercados,42.21
2017-07-28,restaurante,Bom Sabor,14
2017-07-29,supermercado,Ang Super Lj,16.89
2017-07-29,transporte,Posto Galo Estreito,50
2017-07-29,restaurante,Bom Sabor,14
2017-07-29,supermercado,Ang Super Lj,21.13
2017-08-01,restaurante,Ilha Cafe,5
2017-08-01,supermercado,Ang Super Lj,12.52
2017-08-01,supermercado,Ang Super Lj,5.75
2017-08-01,restaurante,Bom Sabor,14
2017-08-02,restaurante,Bom Sabor,14
2017-08-02,supermercado,Bistek Supermercados,28.81
2017-08-03,restaurante,Laudenir P Martins,10
2017-08-04,supermercado,Ang Super Lj,13.08
2017-08-04,restaurante,Bom Sabor,14
2017-08-04,supermercado,Ang Super Lj,6.48
2017-08-05,supermercado,Ang Super Lj,12.99
2017-08-05,restaurante,Bom Sabor,14
2017-08-05,serviços,Recarga Tim,30
2017-08-07,supermercado,Supermercado Super Com,10.53
2017-08-07,transporte,Posto Santo Antonio de,50
2017-08-07,supermercado,Ang Super Lj,18.73
2017-08-07,restaurante,Padaria e Conf Assis,4.85
2017-08-08,restaurante,Bom Sabor,14
2017-08-08,restaurante,Ilha Cafe,11
2017-08-09,restaurante,Bom Sabor,14
2017-08-09,restaurante,Massa Viva,11.5
2017-08-09,,Pagamento recebido,-1016.57
2017-08-10,restaurante,Bom Sabor,14
2017-08-12,supermercado,Massa Viva Mini Calzon,11.5
2017-08-18,serviços,Sim Ideias Criativas,50
2017-08-18,restaurante,Bom Sabor,14
2017-08-18,transporte,Posto Onix,50
2017-08-19,restaurante,Ilha Cafe,10
2017-08-19,restaurante,Bom Sabor,14
2017-08-19,restaurante,Suco,2.5
2017-08-19,restaurante,Suco,17
2017-08-21,,Juros de rotativo,15.6
2017-08-21,,IOF de rotativo,2.18
