date,category,title,amount
2019-06-10,transporte,Beiramar Park Estac,9
2019-06-10,lazer,Ingresso.Com,54.72
2019-06-11,transporte,Auto Posto Uly,236.49
2019-06-11,supermercado,Pratomil R.U.,3.5
2019-06-12,supermercado,Ca1000,3.5
2019-06-12,serviços,Recargatim*48998662450,40
2019-06-12,,Pagamento recebido,-281.83
2019-06-13,supermercado,Ca1000,3.5
2019-06-13,saúde,Farmacia Moderna,16
2019-06-13,restaurante,Subway,15.8
2019-06-14,restaurante,Churrascaria Branger,26
2019-06-14,supermercado,Pratomil R.U.,3.5
2019-06-15,supermercado,Ca1000,5.5
2019-06-17,educação,Banca Leste,40
2019-06-17,supermercado,Bistek Supermercados,167.02
2019-06-17,transporte,99* Pop 15jun 01h41min,25.8
2019-06-17,saúde,Farmacia Preco Popular,54.36
2019-06-17,restaurante,Dxd Comercio de Alimen,32
2019-06-17,restaurante,Madalena Bar,5
2019-06-17,transporte,Uber do Brasil Tecnolo,49
2019-06-17,restaurante,Panificadora Schutz,5.25
2019-06-17,restaurante,Pag*Madalenabar,5
2019-06-19,supermercado,Pratomil R.U.,3
2019-06-20,restaurante,Pag*Madalenabar,5
2019-06-20,supermercado,Ca1000,3.7
2019-06-21,supermercado,Hiper Bom,3.99
2019-06-21,saúde,Farmacia Areias,56
2019-06-21,transporte,99* Pop 20jun 16h22min,12.81
2019-06-21,supermercado,Hiper Bom,5.38
2019-06-21,transporte,99* Pop 20jun 18h16min,5
2019-06-21,restaurante,Minikalzone,13.5
2019-06-21,serviços,Itunes.Com/Bill,18.9
2019-06-22,outros,Mercpago*Modamasculina,97
2019-06-22,transporte,99* Pop 21jun 13h18min,5.3
2019-06-22,transporte,99* Pop 20jun 20h24min,7.03
2019-06-22,transporte,99* Pop 21jun 13h38min,5.3
2019-06-24,,Crédito de Confiança de "99* Pop 21jun 13h18min",-5.3
2019-06-24,,Crédito de Confiança de "99* Pop 21jun 13h38min",-5.3
2019-06-25,,Crédito de "99* Pop 20jun 18h16min",-5
2019-06-25,,Crédito de "99* Pop 21jun 13h18min",-5.3
2019-06-25,,Crédito de "99* Pop 21jun 13h38min",-5.3
2019-06-25,,Crédito de "99* Pop 20jun 16h22min",-12.81
2019-06-25,,Crédito de "99* Pop 20jun 20h24min",-7.03
2019-06-26,transporte,Auto Posto Uly,229.27
2019-06-26,serviços,Ki Barbearia,33
2019-06-26,supermercado,Pratomil R.U.,3.5
2019-06-27,,Reversão do Crédito de Confiança de "99* Pop 21jun 13h18min",5.3
2019-06-27,serviços,Itunes.Com/Bill,7.9
2019-06-27,,Reversão do Crédito de Confiança de "99* Pop 21jun 13h38min",5.3
2019-06-28,supermercado,Pratomil R.U.,2.5
2019-06-29,restaurante,Picnic Food,22
2019-06-29,serviços,Itunes.Com/Bill,70.7
2019-06-29,restaurante,Picnic Food,22
2019-06-29,restaurante,Madalena Bar,5
2019-07-01,serviços,Netflix.Com,45.9
2019-07-01,outros,Sorveteria Napoli,7.5
2019-07-02,restaurante,Swell Poke,29
2019-07-02,supermercado,Pratomil R.U.,11.5
2019-07-04,restaurante,Subway,21.8
2019-07-04,supermercado,Bq2 Com. de Chocolates,18.75
2019-07-05,vestuário,Mofficer Bmf,171.9
2019-07-05,,Pagamento recebido,-1729.03
2019-07-05,outros,Ebanx *Spotify,16.9
2019-07-06,restaurante,Quatro Queijos,57.9
2019-07-06,supermercado,Ca1000,2.5
2019-07-09,supermercado,Pratomil R.U.,3.5
