date,category,title,amount
2019-02-25,supermercado,Bistek Supermercados,10.96
2019-02-25,serviços,Google Play Niantic In,37.9
2019-02-25,restaurante,Ifood*Ifood,4
2019-02-28,serviços,Netflix.Com,37.9
2019-03-02,serviços,Recargatim*48998662450,60
2019-03-02,,Pagamento recebido,-60
2019-03-04,restaurante,Ifood*Ifood,37
2019-03-04,outros,Sorveteria Napoli,47.18
2019-03-05,supermercado,Fruto de Goias,35.9
2019-03-05,outros,Ebanx-Spotify,8.5
2019-03-06,restaurante,Padaria Cafe Bourbon,21.99
2019-03-07,,Pagamento recebido,-250
2019-03-07,restaurante,Pag*Hotdogenatura,13
2019-03-07,supermercado,Pratomil R.U.,5
2019-03-07,restaurante,Ifood*Ifood,21
2019-03-07,restaurante,Jjvv Comercio de Alime,27.8
2019-03-08,supermercado,Pratomil R.U.,5
2019-03-09,,Pagamento recebido,-200
2019-03-11,outros,Paypal*Globalcode 1/6,146.7
