date,category,title,amount
2017-10-21,supermercado,Bistek Supermercados,44.42
2017-10-21,saúde,Farmacia Preco Popular,20.68
2017-10-21,restaurante,Restaurante e Lanchone,28
2017-10-22,,Rewards - Assinatura,19
2017-10-23,supermercado,Bistek Supermercados,31.11
2017-10-24,restaurante,Ilha Cafe,5
2017-10-24,restaurante,Bom Sabor,14
2017-10-25,restaurante,Bom Sabor,14
2017-10-25,restaurante,Mini Kalzone,12.5
2017-10-26,supermercado,Bistek Supermercados,31.12
2017-10-26,restaurante,Ilha Cafe,12
2017-10-26,restaurante,Bom Sabor,14
2017-10-27,transporte,Posto Galo Interlagos,50
2017-10-28,restaurante,Bom Sabor,14
2017-10-28,restaurante,Dutomaz Comercio de Al,13
2017-10-28,eletrônicos,Anderlex Eletronicos,50
2017-10-30,eletrônicos,Submarino Com,120
2017-10-30,eletrônicos,Submarino.Com,128.89
2017-10-30,eletrônicos,Submarino Com,73.83
2017-10-31,supermercado,Ang Super Lj,13.25
2017-10-31,transporte,Posto Santo Antonio de,50
2017-11-01,restaurante,Mini Kalzone,13.5
2017-11-02,educação,Coursera,166.82
2017-11-02,,IOF de "Coursera",10.64
2017-11-02,restaurante,Via Crispim Restaurant,17
2017-11-04,restaurante,Degustar,6.5
2017-11-06,supermercado,Big Flrn Cap Pdv,49.91
2017-11-07,supermercado,Ang Super Lj,15.75
2017-11-07,,Pagamento recebido,-1672.53
2017-11-07,serviços,Aeropay*Dom Parki,10.53
2017-11-07,transporte,Posto Onix,50
2017-11-07,restaurante,Bom Sabor,14
2017-11-08,restaurante,Bom Sabor,14
2017-11-09,,Pagamento recebido,-200
2017-11-11,restaurante,Ilha Cafe,7
2017-11-11,restaurante,Bom Sabor,14
2017-11-12,,Juros de rotativo,15.26
2017-11-12,,IOF de rotativo,2.76
