date,category,title,amount
2018-06-12,,Pagamento recebido,-1500.52
2018-06-12,restaurante,Biguacu Lanches,3.5
2018-06-12,supermercado,Abn Produtos Naturais,11.7
2018-06-13,restaurante,Ilha Cafe,8
2018-06-13,restaurante,Uni Lanches - Box,2.5
2018-06-13,supermercado,Abn Produtos Naturais,12.6
2018-06-14,casa,Supermercado Gemeos,29.99
2018-06-14,supermercado,Abn Produtos Naturais,12.6
2018-06-15,restaurante,Ilha Cafe,12
2018-06-15,supermercado,Ang Super Lj,13.67
2018-06-16,supermercado,Abn Produtos Naturais,12.6
2018-06-16,saúde,Panvel Filial,6.49
2018-06-18,serviços,Netflix.Com,37.9
2018-06-18,transporte,Posto Onix,50
2018-06-18,serviços,Aeropay*Dom Parki,21.05
2018-06-19,transporte,Posto Onix,50
2018-06-19,restaurante,Ilha Cafe,12
2018-06-20,supermercado,Abn Produtos Naturais,13.95
2018-06-20,supermercado,Ang Super Lj,7.75
2018-06-21,restaurante,Ilha Cafe,6
2018-06-21,saúde,Panvel Filial,20.99
2018-06-21,supermercado,Abn Produtos Naturais,7.65
2018-06-21,supermercado,Supermercado Ipiranga,1.49
2018-06-22,,Rewards - Assinatura,19
2018-06-22,supermercado,Abn Produtos Naturais,7.65
2018-06-23,outros,Sesc Florianopolis,50
2018-06-23,supermercado,Ang Super Lj,29.64
2018-06-23,saúde,Farmacia Ang Fl,98.65
2018-06-23,restaurante,Ilha Cafe,2
2018-06-25,restaurante,Mov Cafe,5
2018-06-25,viagem,Go Inn Jaguare,168
2018-06-25,restaurante,Mov Cafe,3
2018-06-25,viagem,Azul Linhas Matriz,75
2018-06-25,restaurante,Salut,24.71
2018-06-25,restaurante,Salut,25.55
2018-06-25,restaurante,Casa do Pao de Queijo,13
2018-06-25,restaurante,Casa do Pao de Queijo,19.9
2018-06-26,serviços,Google Play Tinder,47.99
2018-06-27,restaurante,Ilha Cafe,8
2018-06-27,supermercado,Ang Super Lj,6.66
2018-06-28,supermercado,Abn Produtos Naturais,18.9
2018-06-29,supermercado,Ang Super Lj,3.57
2018-06-29,supermercado,Ang Super Lj,17.13
2018-06-30,transporte,Posto Onix,70
2018-06-30,supermercado,Laudenir Dutra,9
2018-06-30,supermercado,Bistek Supermercados,35.92
2018-07-02,restaurante,Juca Pato,87
2018-07-02,supermercado,Bistek Supermercados,31.35
2018-07-03,restaurante,Rao Cafe,12
2018-07-03,serviços,Thainara Jeins de Souz,10
2018-07-03,restaurante,Dez Pasteis,5
2018-07-03,restaurante,Dez Pasteis,18.5
2018-07-03,transporte,Nienkotter Posto,50
2018-07-03,restaurante,Rao Cafe,4
2018-07-04,supermercado,Sorveteria Napoli,38.01
2018-07-05,transporte,Ponto Gas,8.5
2018-07-05,outros,Ebanx-Spotify,8.5
2018-07-05,casa,Supermercado Gemeos,71.75
2018-07-06,,Pagamento recebido,-2000
2018-07-06,transporte,Posto Galo Interlagos,52.5
2018-07-06,saúde,Id Farmacia,13.4
2018-07-06,transporte,Dom Parking,10
2018-07-06,restaurante,Tatu Lanches,29.5
2018-07-06,casa,Bela Caes e Gatos,150
2018-07-06,restaurante,Europa Cafe Bar,19
2018-07-06,supermercado,Bistek Supermercados,32.47
2018-07-07,supermercado,Sorveteria Napoli,21.8
2018-07-07,transporte,Posto Max,50
2018-07-07,supermercado,Sorveteria Napoli,4
2018-07-09,transporte,Shopping Park,10
2018-07-09,restaurante,Cafe Strike,29.96
2018-07-09,supermercado,Bistek Supermercados,23.94
2018-07-09,outros,Pag*Pontodaluta,295.42
2018-07-09,restaurante,Cantina la Toscana,81.4
2018-07-09,supermercado,Sorveteria Napoli,49.5
2018-07-10,supermercado,Bistek Supermercados,142.09
2018-07-11,serviços,Google Play Udemy Inc,34.99
2018-07-11,restaurante,Dbi Lanchonete Ltda,33.9
2018-07-11,transporte,Posto Rita Maria,50
2018-07-11,restaurante,Tortas Alzir Krauss,25
2018-07-11,serviços,Thainara Jeins de Souz,24
