date,category,title,amount
2017-02-17,supermercado,Supermerc Imperatriz,34.39
2017-02-18,transporte,Sportrodas 3/6,280.83
2017-02-20,transporte,Poso Sulcar,50
2017-02-20,supermercado,Ang Super Lj,42.44
2017-02-20,supermercado,Ang Super Lj,49.97
2017-02-20,restaurante,Pan e Conf Santos,5
2017-02-20,outros,Marlene Nicacio,14.99
2017-02-20,supermercado,Supermercado Alianca,6.63
2017-02-21,lazer,Sesc Florianopolis,30
2017-02-21,,Pagamento recebido,-850.44
2017-02-22,serviços,Ki Barbearia,30
2017-02-22,casa,S2wallet,10.53
2017-02-22,transporte,Posto Avenida das Torr,50
2017-02-23,restaurante,Cia do Suco,15
2017-02-24,supermercado,Mercearia do Galego,21.09
2017-02-24,transporte,Est Shopping Iguatemi,8
2017-03-01,outros,Sesc Cacupe,17.41
2017-03-01,transporte,Posto Marilu,50
2017-03-01,supermercado,Bistek Supermercados,111.77
2017-03-01,transporte,Posto Rita Maria,50.2
2017-03-01,saúde,Farmacia Preco Popular,44.75
2017-03-01,supermercado,Bistek Supermercados,33.53
2017-03-02,lazer,Sesc Florianopolis,30
2017-03-02,serviços,Recarga Tim,30
2017-03-02,,Pagamento recebido,-1092.93
2017-03-02,serviços,Mercpago Mercadolivre,70.9
2017-03-02,serviços,Ida Toebe,5.5
2017-03-03,supermercado,Luzia Lorena Fonte da,7.98
2017-03-03,supermercado,Ang Super Lj,36.53
2017-03-06,serviços,Recarga Tim,15
2017-03-06,restaurante,Dutomaz Comercio de Al,11.5
2017-03-06,supermercado,Supermercado Super Com,16.24
2017-03-07,transporte,Posto Onix,50
2017-03-08,supermercado,Supermerc Imperatriz,27.07
2017-03-09,,Pagamento recebido,-164.32
