date,category,title,amount
2019-03-11,lazer,Ingresso.Com,63.36
2019-03-12,outros,Paypal*Globalcode 2/6,146.66
2019-03-14,,Pagamento recebido,-150
2019-03-15,supermercado,Pratomil R.U.,2
2019-03-16,serviços,Recargatim*48998662450,15
2019-03-17,,Pagamento recebido,-100
2019-03-18,restaurante,Ifood*Ifood,49.9
2019-03-18,eletrônicos,Google Play Supercell,37.9
2019-03-19,eletrônicos,Google Play Niantic In,1.9
2019-03-19,eletrônicos,Google Play Niantic In,1.9
2019-03-19,eletrônicos,Google Play Niantic In,1.9
2019-03-19,eletrônicos,Google Play Niantic In,1.9
2019-03-19,eletrônicos,Google Play Niantic In,1.9
2019-03-23,eletrônicos,Google Play Supercell,37.9
2019-03-23,restaurante,Cheiro Verde,74.25
2019-03-28,serviços,Netflix.Com,37.9
2019-04-03,eletrônicos,Google Play Supercell,37.9
2019-04-03,outros,Intelbras 1/3,56.64
2019-04-05,eletrônicos,Google Play Supercell,18.9
2019-04-05,outros,Intelbras 2/3,56.63
2019-04-05,outros,Intelbras 3/3,56.63
2019-04-05,,Desconto Antecipação Intelbras,-0.7
2019-04-05,outros,Paypal*Globalcode 6/6,146.66
2019-04-05,outros,Paypal*Globalcode 5/6,146.66
2019-04-05,outros,Paypal*Globalcode 3/6,146.66
2019-04-05,outros,Paypal*Globalcode 4/6,146.66
2019-04-05,,Desconto Antecipação Paypal*Globalcode,-6.01
2019-04-05,,Pagamento recebido,-1000
2019-04-05,outros,Ebanx-Spotify,8.5
2019-04-08,,Pagamento recebido,-145.27
2019-04-08,eletrônicos,Google Play Niantic In,1.9
2019-04-08,eletrônicos,Google Play Niantic In,1.9
2019-04-08,eletrônicos,Google Play Niantic In,1.9
2019-04-08,eletrônicos,Google Play Supercell,37.9
2019-04-08,eletrônicos,Google Play Niantic In,1.9
2019-04-08,eletrônicos,Google Play Niantic In,1.9
2019-04-09,eletrônicos,Google Play Supercell,37.9
2019-04-09,eletrônicos,Google Play Supercell,37.9
2019-04-09,eletrônicos,Google Play Supercell,18.9
2019-04-09,supermercado,Ca1000,7
2019-04-10,supermercado,Pratomil R.U.,6.5
2019-04-10,eletrônicos,Google Play Supercell,37.9
