date,category,title,amount
2018-03-13,,Pagamento recebido,-487.43
2018-03-19,serviços,Netflix.Com,37.9
2018-03-22,,Rewards - Assinatura,19
2018-03-22,restaurante,Pag*Silvamarmitex,14.8
2018-03-22,educação,Liv Catarinense Felipe,16.3
2018-03-23,,Variação cambial,1.28
2018-03-29,transporte,Posto Onix,50
2018-03-29,restaurante,Pag*Silvamarmitex,12.4
2018-03-29,restaurante,Izauro de Araujo,16
2018-03-30,transporte,Federal Auto Pecas,10
2018-04-02,restaurante,O Forno,95
2018-04-03,supermercado,Ang Super Lj,10.5
2018-04-04,restaurante,Pan e Conf Santos,8.35
2018-04-05,restaurante,Manga Rosa,6.5
2018-04-05,restaurante,Pag*Silvamarmitex,12.4
2018-04-06,restaurante,Pag*Silvamarmitex,12.4
2018-04-06,,Pagamento recebido,-341.8
2018-04-06,supermercado,Ang Super Lj,6.57
2018-04-07,supermercado,Ang Super Lj,10.7
2018-04-07,restaurante,Pag*Silvamarmitex,12.4
2018-04-10,,Pagamento recebido,-388.39
2018-04-11,restaurante,Pan e Conf Santos,5.14
2018-04-11,restaurante,Ilha Cafe,2
2018-04-11,transporte,Posto Onix,50
