date,category,title,amount
2018-07-12,transporte,Posto Rita Maria,59
2018-07-12,supermercado,Pag*Ghazalarabianfood,18
2018-07-12,restaurante,Pag*Churrasbruto,3
2018-07-13,restaurante,Pizzas Delivery,19.52
2018-07-13,,Pagamento recebido,-800
2018-07-14,supermercado,Sorveteria Napoli,52.2
2018-07-16,restaurante,Peyloubet Silva Bar,44
2018-07-16,restaurante,Dbi Lanchonete Ltda,41.9
2018-07-16,,Pagamento recebido,-2300
2018-07-16,supermercado,Bistek Supermercados,85.41
2018-07-16,restaurante,Chopp do Gus,112.12
2018-07-16,transporte,Posto Shopping,52.5
2018-07-17,saúde,Farma Cris,22.06
2018-07-17,outros,Mercpago,1631.9
2018-07-17,casa,Bela Caes e Gatos,272
2018-07-17,transporte,Pag*Postovitoriaregia,50
2018-07-17,outros,Zoop*Sympla Rammst,34
2018-07-17,restaurante,Dbi Lanchonete Ltda,13.9
2018-07-18,serviços,Ki Barbearia,50
2018-07-18,supermercado,Sacolao Avenida,11.65
2018-07-18,restaurante,Pizzas Delivery,40
2018-07-18,supermercado,Bistek Supermercados,34.23
2018-07-20,vestuário,Urbana,159.8
2018-07-20,outros,Makenji,629.7
2018-07-20,restaurante,Lanchonete Lins,20.5
2018-07-20,restaurante,Oven Continente,27.4
2018-07-20,transporte,Shopping Park,8
2018-07-20,vestuário,Gabriela,159.99
2018-07-21,lazer,Marcus dos Santos,29.51
2018-07-21,transporte,Posto Galo Interlagos,79.9
2018-07-22,,Rewards - Assinatura,19
2018-07-22,,Pagamento recebido,-1500
2018-07-23,restaurante,Mc Donalds Fln,45.7
2018-07-23,outros,Sorveteria Napoli,46.27
2018-07-23,restaurante,Kansas Grill,40.9
2018-07-23,restaurante,Pag*Hotdogenatura,22
2018-07-24,supermercado,Super Imperatriz Lj,24.79
2018-07-25,serviços,Aeropay*Dom Parki,10.53
2018-07-25,saúde,Farmacia Sao Joao,61.29
2018-07-25,transporte,Nino Pecas,100
2018-07-25,supermercado,Sorveteria Napoli,47.96
2018-07-25,saúde,Farmacia Preco Popular,14.16
2018-07-25,transporte,Posto da Ilha,50
2018-07-25,saúde,67,18.6
2018-07-25,transporte,Panificadora Leal,20.48
2018-07-25,restaurante,Dbi Lanchonete Ltda,34.9
2018-07-26,supermercado,Super Imperatriz Lj,12.87
2018-07-27,transporte,Aririu Com. Combust.,50
2018-07-27,restaurante,Pag*Hotdogenatura,22
2018-07-27,transporte,Panificadora Leal,11.58
2018-07-28,,Pagamento recebido,-1000
2018-07-28,serviços,Netflix.Com,37.9
2018-07-28,restaurante,Dbi Lanchonete Ltda,43.9
2018-07-30,outros,Sorveteria Napoli,45.71
2018-07-30,restaurante,Picnic Food,41
2018-07-30,restaurante,Mini Kalzone,25
2018-07-30,restaurante,Pizzas Delivery,42
2018-07-31,supermercado,Sorveteria Napoli,50.3
2018-07-31,restaurante,Pag*Hotdogenatura,22
2018-07-31,saúde,Panvel Filial,10
2018-08-01,transporte,Posto Barreiros,70
2018-08-01,transporte,Ponto de,84.8
2018-08-01,transporte,Motor 100 Distribuidor,35.35
2018-08-02,restaurante,Padaria Turnes,12.75
2018-08-02,restaurante,Cantina la Toscana,70.4
2018-08-02,saúde,Panvel Farmacias,12.4
2018-08-03,outros,Mercpago,178
2018-08-03,supermercado,Ang Super Lj,37.54
2018-08-03,restaurante,Subway,38
2018-08-03,restaurante,Grao Cafe,15
2018-08-04,restaurante,Dbi Lanchonete Ltda,18.4
2018-08-05,,Pagamento recebido,-500
2018-08-06,outros,Ec*Spotify,8.5
2018-08-08,eletrônicos,Zerone Games,69.9
2018-08-10,restaurante,Ilha Cafe,6
2018-08-10,saúde,Panvel Farmacias,20.98
2018-08-11,restaurante,Dbi Lanchonete Ltda,13.9
2018-08-11,casa,Valdirium Bom Negocio,15
2018-08-11,transporte,Posto Oni,50
2018-08-11,supermercado,Super Imperatriz Lj,45.47
