date,category,title,amount
2018-08-13,restaurante,Pag*Hotdogenatura,22
2018-08-13,,Pagamento recebido,-100
2018-08-14,supermercado,Ang Super Lj,7.99
2018-08-15,supermercado,Sorveteria Napoli,32.76
2018-08-15,restaurante,Pag*Hotdogenatura,33
2018-08-21,,Pagamento recebido,-202.35
2018-08-21,casa,Casa das Lampadas,158
2018-08-22,,Rewards - Assinatura,19
2018-08-23,,Pagamento recebido,-200
2018-08-24,transporte,Posto Oni,50
2018-08-24,serviços,Gotinha D,38
2018-08-25,restaurante,Pag*Hotdogenatura,26.5
2018-08-25,supermercado,Super Imperatriz Lj,34.35
2018-08-27,restaurante,Restauran,12
2018-08-27,restaurante,O Padeiro de Sevilha,16
2018-08-27,serviços,Recargatim*48998662450,20
2018-08-27,serviços,Aeropay*Dom Parki,10.53
2018-08-27,serviços,Pag*Datascienceacadem,1904
2018-08-27,supermercado,Ang Super Lj,39.9
2018-08-27,transporte,Posto Barreiros,50
2018-08-27,restaurante,Pizzas Delivery,55
2018-08-28,restaurante,Sabor e Sucos,17.5
2018-08-28,serviços,Netflix.Com,37.9
2018-08-29,,Pagamento recebido,-2160.43
2018-08-29,supermercado,Ang Super Lj,29.75
2018-08-30,restaurante,Dbi Lanchonete Ltda,25.8
2018-08-30,,Pagamento recebido,-158.3
2018-08-30,transporte,Posto Gal,52.5
2018-08-30,outros,Sesc Florianopolis,30
2018-08-31,supermercado,Ang Super Lj,12.68
2018-08-31,transporte,Passepa*Panificadora L,22.45
2018-09-01,transporte,Posto Barreiros,50
2018-09-03,outros,Sorveteria Napoli,43.55
2018-09-05,restaurante,Ilha Cafe,9.5
2018-09-05,transporte,Posto da Ilha,50
2018-09-05,transporte,Dom Parking,10
2018-09-05,,Pagamento recebido,-200
2018-09-05,outros,Ebanx-Spo,8.5
2018-09-06,supermercado,Ang Super Lj,3.9
2018-09-06,restaurante,Pag*Hotdogenatura,11
2018-09-06,supermercado,Ang Super Lj,10.46
2018-09-06,,Pagamento recebido,-255
2018-09-07,supermercado,Bistek Supermercados,127.52
2018-09-07,serviços,Recargatim*48998662450,60
2018-09-07,saúde,Farmacia,83.73
2018-09-08,transporte,Passepa*Panificadora L,29.64
2018-09-08,,Pagamento recebido,-510.4
2018-09-10,restaurante,Star Fisc,13.4
2018-09-10,transporte,Posto Oni,181.05
2018-09-10,lazer,Ingresso.Com,41.04
2018-09-10,transporte,J H Filtros e Lubrific,191.43
2018-09-10,restaurante,Rest Churr Boa Vista,26.8
2018-09-10,lazer,Zoop*Sympla Develo,50
