date,category,title,amount
2018-10-10,saúde,Drogaria,5.89
2018-10-12,,Pagamento recebido,-40
2018-10-12,supermercado,Petisco Flor da Ilha,11
2018-10-12,,Pagamento recebido,-40
2018-10-12,restaurante,Pag*Hotdogenatura,15.5
2018-10-14,,Pagamento recebido,-216
2018-10-15,transporte,Posto Oni,50
2018-10-15,restaurante,Jjvv Comercio de Alime,15
2018-10-15,transporte,Pag*Imperatwax,159.9
2018-10-15,restaurante,Pag*Hotdogenatura,11
2018-10-18,supermercado,Emporium Doll,28.17
2018-10-18,transporte,Posto Barreiros,50
2018-10-19,,Rewards - Crédito de compra apagada,-37.9
2018-10-19,,Rewards - Crédito de compra apagada,-37.9
2018-10-19,,Pagamento recebido,-192.38
2018-10-19,,Rewards - Crédito de compra apagada,-37.9
2018-10-19,,Rewards - Crédito de compra apagada,-37.9
2018-10-19,transporte,Passepa*Panificadora L,11.55
2018-10-19,,Rewards - Crédito de compra apagada,-37.9
2018-10-19,educação,Liv Catarinense Felipe,70
2018-10-19,,Rewards - Crédito de compra apagada,-37.9
2018-10-19,restaurante,Pag*Hotdogenatura,22
2018-10-22,restaurante,Ponto,19
2018-10-22,supermercado,Bistek Supermercados,5.94
2018-10-22,,Rewards - Assinatura,19
2018-10-23,transporte,Passepa*Panificadora L,25.83
2018-10-23,supermercado,Ang Super Lj,3.79
2018-10-25,restaurante,Pag*Hotdogenatura,11
2018-10-25,transporte,Posto Gal,50
2018-10-26,restaurante,Restauran,12
2018-10-26,transporte,Passepa*Panificadora L,12.55
2018-10-29,restaurante,Princesa da Ilha,4
2018-10-29,transporte,Posto Santa Monica,56.99
2018-10-29,restaurante,Princesa da Ilha,24.5
2018-10-29,restaurante,Pizzas Delivery,39.75
2018-10-29,supermercado,Super Imperatriz Lj,23.46
2018-10-29,serviços,Netflix.Com,37.9
2018-10-30,supermercado,Mercado B,4.4
2018-10-31,,Pagamento recebido,-300
2018-10-31,transporte,Barcellos Carqueja Cia,120
2018-11-01,transporte,Passepa*Panificadora L,6.32
2018-11-02,restaurante,Bulebar Cafe,9
2018-11-03,supermercado,Bistek Supermercados,6.98
2018-11-05,outros,Ebanx-Spo,8.5
2018-11-05,restaurante,Pizzas Delivery,15
2018-11-07,transporte,Posto Gal,60
2018-11-07,restaurante,Pag*Hotdogenatura,22
2018-11-07,,Pagamento recebido,-150
2018-11-09,restaurante,Ilha Cafe,10
2018-11-09,transporte,Nienkotte,50
2018-11-09,serviços,Recargatim*48998662450,40
2018-11-09,transporte,Posto Ilh,11.5
2018-11-09,transporte,Passepa*Panificadora L,13.58
2018-11-10,,Pagamento recebido,-500
2018-11-10,restaurante,Restaurante Bom Apetit,12.5
2018-11-10,supermercado,Ang Super Lj,26.18
