date,category,title,amount
2019-04-13,eletrônicos,Google Play Supercell,37.9
2019-04-15,serviços,Recargatim*48998662450,100
2019-04-24,,Pagamento recebido,-136.72
2019-04-29,serviços,Netflix.Com,45.9
2019-04-30,supermercado,Pratomil R.U.,3
2019-04-30,restaurante,Bule Bar,6
2019-05-01,restaurante,Espetinho de Ouro,23.65
2019-05-01,supermercado,Pratomil R.U.,2.5
2019-05-02,supermercado,Fruto de Goias,35.9
2019-05-04,transporte,Posto Mauro Ramos,236.12
2019-05-04,serviços,Itunes.Com/Bill,10.9
2019-05-06,outros,Ebanx *Spotify,8.5
2019-05-06,restaurante,Emporio Mineiro,17.05
2019-05-06,supermercado,Bistek Supermercados,63.41
2019-05-06,outros,Bruxa da Ilha,32
2019-05-07,,Pagamento recebido,-534.43
2019-05-08,supermercado,Pratomil R.U.,2
2019-05-08,lazer,Zp*Sympla 1c31ff,44
2019-05-09,supermercado,Ca1000,3.5
