date,category,title,amount
2019-05-14,serviços,Recargatim*48998662450,20
2019-05-17,eletrônicos,Amazon-Marketplace Ama,94.59
2019-05-18,serviços,Itunes.Com/Bill,74.9
2019-05-18,,Pagamento recebido,-600
2019-05-18,serviços,Itunes.Com/Bill,25.9
2019-05-18,supermercado,Pratomil R.U.,3
2019-05-20,,Crédito de "Amazon-Marketplace Ama",-94.59
2019-05-20,serviços,Itunes.Com/Bill,56.7
2019-05-20,supermercado,Bistek Supermercados,72.52
2019-05-20,serviços,Itunes.Com/Bill,70.8
2019-05-22,serviços,Itunes.Com/Bill,37.9
2019-05-22,restaurante,Gamelas & Panella S,41.4
2019-05-22,eletrônicos,Amazon-Marketplace Ama,277.55
2019-05-23,supermercado,Pratomil R.U.,3.5
2019-05-23,saúde,Farmacia Brasil Popula,54.47
2019-05-24,restaurante,Subway,17.8
2019-05-24,transporte,Auto Posto Uly,247.62
2019-05-27,serviços,Itunes.Com/Bill,18.9
2019-05-27,restaurante,Pag*Gelsonandresilva,20
2019-05-27,supermercado,Bistek Supermercados,75.89
2019-05-27,restaurante,Cantina Vo Joao,9.5
2019-05-27,restaurante,Pizzas Delivery,47
2019-05-27,serviços,Itunes.Com/Bill,37.8
2019-05-28,serviços,Netflix.Com,45.9
2019-05-28,supermercado,Pratomil R.U.,7
2019-05-30,serviços,Itunes.Com/Bill,37.9
2019-05-31,supermercado,Pratomil R.U.,3
2019-05-31,supermercado,Pratomil R.U.,3.5
2019-06-01,,Pagamento recebido,-71.41
2019-06-01,serviços,Itunes.Com/Bill,3.9
2019-06-03,restaurante,Sf Foods,60
2019-06-03,transporte,Shopping Park,10
2019-06-04,serviços,Itunes.Com/Bill,18.9
2019-06-05,supermercado,Ca1000,3
2019-06-05,outros,Ebanx *Spotify,8.5
2019-06-06,serviços,Itunes.Com/Bill,37.9
2019-06-06,,Pagamento recebido,-800
2019-06-06,supermercado,Pratomil R.U.,5
2019-06-08,restaurante,Espetinho de Ouro,45.1
2019-06-08,serviços,Itunes.Com/Bill,18.9
2019-06-08,transporte,Beiramar Park Estac,9
2019-06-08,lazer,Cine Show Beiramar,45
2019-06-10,serviços,Itunes.Com/Bill,74.9
2019-06-10,restaurante,Quatro Queijos,57.9
2019-06-10,serviços,Itunes.Com/Bill,37.9
2019-06-10,supermercado,Super Imperatriz Lj,6.89
