date,category,title,amount
2017-08-21,supermercado,Sacolao Avenida,12.2
2017-08-21,supermercado,Bistek Supermercados,49.21
2017-08-22,restaurante,Bom Sabor,14
2017-08-22,transporte,Posto Barreiros,50
2017-08-23,restaurante,Filho da Fruta,12
2017-08-23,restaurante,Bom Sabor,14
2017-08-24,transporte,Posto Galo Centro,61.74
2017-08-24,restaurante,Bom Sabor,14
2017-08-24,restaurante,Ilha Cafe,6
2017-08-25,restaurante,Subway,16
2017-08-25,transporte,Andre Luiz Ostermann,10
2017-08-25,restaurante,Laudenir P Martins,11
2017-08-25,supermercado,Ang Super Lj,8.02
2017-08-26,restaurante,Bom Sabor,14
2017-08-26,transporte,Posto Galo Centro,50
2017-08-26,restaurante,Suco,13
2017-08-26,supermercado,Ang Super Lj,9.98
2017-08-26,supermercado,Ang Super Lj,4
2017-08-26,supermercado,Ang Super Lj,8.75
2017-08-26,supermercado,Mercearia do Galego,10
2017-08-28,supermercado,Ang Super Lj,9.5
2017-08-28,supermercado,Ang Super Lj,4.24
2017-08-28,supermercado,Ang Super Lj,19.48
2017-08-29,restaurante,Subway,22.5
2017-08-29,transporte,Andre Luiz Ostermann,10
2017-08-29,restaurante,Suprema Cafeteria,5.5
2017-08-29,supermercado,Abn Produtos Naturais,22.5
2017-08-30,supermercado,Big Flrn Cap Pdv,9.16
2017-08-30,restaurante,Mini Kalzone,13.5
2017-08-30,restaurante,Bom Sabor,14
2017-08-31,restaurante,Bom Sabor,14
2017-09-01,restaurante,Bom Sabor,14
2017-09-01,supermercado,Mercado Super Bom,16.45
2017-09-01,restaurante,Restaurante Paladar,12
2017-09-02,,IOF de "Facebk *Eyr58ej2f2",5.01
2017-09-02,serviços,Facebk *Eyr58ej2f2,78.57
2017-09-02,outros,Emporio Doll e Cafe,18.5
2017-09-02,transporte,Posto Onix,50
2017-09-02,restaurante,Bom Sabor,14
2017-09-04,supermercado,Cristiane Pedroni,12.49
2017-09-05,outros,Emporio Doll e Cafe,25
2017-09-05,restaurante,Bom Sabor,14
2017-09-05,serviços,Recarga Tim,30
2017-09-05,saúde,Panvel Filial,15.99
2017-09-06,supermercado,Mercearia do Galego,13.9
2017-09-06,,Pagamento recebido,-1066.98
2017-09-06,restaurante,Bom Sabor,14
2017-09-07,restaurante,Bom Sabor,14
2017-09-07,restaurante,Laudenir P Martins,11
2017-09-07,restaurante,Pan e Conf Santos,8
2017-09-09,casa,Casa das Lampadas,38
2017-09-09,restaurante,Dutomaz Comercio de Al,12.25
2017-09-09,supermercado,Cristiane Pedroni,13
2017-09-11,serviços,Ida Toebe,7.4
2017-09-11,supermercado,Mini Mercado Super Bom,23.64
2017-09-12,restaurante,Bom Sabor,14
2017-09-13,restaurante,Bom Sabor,14
2017-09-13,restaurante,Pan e Conf Santos,14.5
2017-09-13,transporte,Posto Galo Centro,55
2017-09-13,serviços,Pg *Hontinger,251.64
2017-09-14,restaurante,Ilha Cafe,5
2017-09-14,restaurante,Bom Sabor,14
2017-09-14,restaurante,Laudenir P Martins,11
2017-09-14,casa,Supermercado Gemeos,14.57
2017-09-15,saúde,Farmacia Preco Popular,7.48
2017-09-15,restaurante,Pan e Conf Santos,4
2017-09-15,saúde,Farmacia Zaza,28
2017-09-15,restaurante,Bom Sabor,14
2017-09-15,supermercado,Bistek Supermercados,31.22
2017-09-16,outros,Emporio Doll,11.42
2017-09-16,restaurante,Capim Santo Sucos,6.25
2017-09-18,supermercado,Bistek Supermercados,21.54
2017-09-18,restaurante,Europa Cafe Bar,15.8
2017-09-18,supermercado,Bistek Supermercados,29.78
2017-09-19,supermercado,Massa Viva Mini Calzon,16.75
2017-09-19,transporte,Posto Barreiros,50
2017-09-19,restaurante,Bom Sabor,14
2017-09-20,restaurante,Bom Sabor,14
2017-09-20,restaurante,Mini Kalzone,11.5
2017-09-21,,Juros de rotativo,5.8
2017-09-21,,IOF de rotativo,1.09
